Recipe Title,Ingredients,Steps
Κακαβιά με μπλε καβούρια,"2 μέτριες πατάτες, σε μέτρια κομμάτια, 2 μέτρια καρότα, σε χοντρές φέτες, 1 κλωνάρι σέλερι, καθαρισμένο από ίνες, σε λεπτές φέτες, 1 μεγάλο ξερό κρεμμύδι, χοντροκομμένο, 40 ml ελαιόλαδο, για το σερβίρισμα, 1 κονσέρβα καβουρόψιχα (ή 2-3 φρέσκα μπλε καβούρια, ολόκληρα), αλάτι, φρεσκοτριμμένο πιπέρι, λίγος χυμός λεμονιού για το σερβίρισμα","Για την κακαβιά με μπλε καβούρια ξεκινάμε βάζοντας σε μια βαθιά κατσαρόλα τις πατάτες, τα καρότα, το σέλερι και το κρεμμύδι. Αλατίζουμε ελαφρά και τα καλύπτουμε με νερό κατά 4-5 εκ. Ζεσταίνουμε σε δυνατή φωτιά μέχρι να πάρουν βράση., Χαμηλώνουμε τη φωτιά, σκεπάζουμε την κατσαρόλα και μαγειρεύουμε για περίπου 15 λεπτά, μέχρι να μισομαλακώσουν τα υλικά., Αν χρησιμοποιήσουμε φρέσκα καβούρια, τα πλένουμε καλά και τα ρίχνουμε ολόκληρα στην κατσαρόλα., Μαγειρεύουμε για άλλα 15 λεπτά, μέχρι να γίνουν τα λαχανικά., Λίγο πριν σερβίρουμε, βγάζουμε από τη σούπα τα καβούρια και με μια πένσα (ή το ειδικό εργαλείο που σπάμε τα θαλασσινά) σπάμε τις δαγκάνες, τα πόδια και το καπάκι του κορμού και αφαιρούμε το ψαχνό. Αν χρησιμοποιήσουμε κονσέρβα, ρίχνουμε στην κατσαρόλα την καβουρόψιχα μαζί με το υγρό της κονσέρβας 10 λεπτά πριν ολοκληρωθεί το μαγείρεμα., Μπορούμε να μοιράσουμε το ψαχνό στα πιάτα με την κακαβιά ή να το σερβίρουμε ξεχωριστά σε πιάτο, με ελάχιστο αλάτι, ελαιόλαδο και λίγο χυμό λεμονιού."
Σουπιές στιφάδο,"1 κιλό σουπιές, καθαρισμένες (αφαιρούμε τα σακουλάκια με το μελάνι, αν περιέχουν), 50 ml ούζο (ή τσίπουρο, κατά προτίμηση με γλυκάνισο), 50 ml ελαιόλαδο, 4 μεγάλα ξερά κρεμμύδια, σε μέτριες φέτες, 1 κουτ. γλυκού ζάχαρη, 1 κουτ. γλυκού πάπρικα γλυκιά, σε σκόνη, 1 κουτ. γλυκού ρίγανη ξερή, τα φύλλα από 1/2 μάτσο φρέσκο δυόσμο, ψιλοκομμένα, 1 φύλλο δάφνης, 1 κουτ. γλυκού πελτές ντομάτας, αλάτι, φρεσκοτριμμένο πιπέρι","Για τις σουπιές στιφάδο ξεκινάμε βάζοντας τις σουπιές, ολόκληρες, σε μια μεγάλη κατσαρόλα και προσθέτουμε νερό που να τις καλύψει κατά 2-3 εκ., Προσθέτουμε το ούζο ή το τσίπουρο και ζεσταίνουμε σε δυνατή φωτιά μέχρι το νερό να πάρει βράση., Χαμηλώνουμε τη φωτιά, σκεπάζουμε καλά την κατσαρόλα και βράζουμε τις σουπιές για περίπου 45 λεπτά, μέχρι να μαλακώσουν., Αποσύρουμε από τη φωτιά, στραγγίζουμε τις σουπιές και μόλις κρυώσουν λίγο και μπορούμε να τις πιάσουμε, τις καθαρίζουμε από τη σκούρα μεμβράνη που περιβάλλει τον κορμό τους., Κόβουμε τους κορμούς σε μέτρια δαχτυλίδια και τα κεφάλια σε μέτρια κομμάτια., Πλένουμε και σκουπίζουμε καλά την κατσαρόλα. Ζεσταίνουμε εκεί το ελαιόλαδο σε μέτρια φωτιά και ρίχνουμε τα κρεμμύδια, τη ζάχαρη, την πάπρικα, τη ρίγανη, τον δυόσμο, τη δάφνη και τον πελτέ., Αλατοπιπερώνουμε και σοτάρουμε για 15-20 λεπτά, μέχρι τα κρεμμύδια να μαλακώσουν καλά και να αρχίσουν να ροδίζουν., Ρίχνουμε νερό που να καλύψει καλά τα υλικά, αφήνουμε να πάρει βράση και χαμηλώνουμε τη φωτιά. Σκεπάζουμε την κατσαρόλα και σιγομαγειρεύουμε για 10 λεπτά., Ρίχνουμε τις σουπιές και αλατοπίπερο, ανακατεύουμε και συνεχίζουμε το μαγείρεμα για άλλα 15 λεπτά, μέχρι να μαλακώσουν καλά τα κρεμμύδια και να δέσει ωραία η σάλτσα."
Σπιτικές τορτίγιες με σαλάτα κινόα και κρέμα φέτας,"4 γεμάτα φλιτζ. τσαγιού αλεύρι για όλες τις χρήσεις, 1 κουτ. γλυκού αλάτι, 1 κουτ. γλυκού μπέικιν πάουντερ, 2 κουτ. σούπας ελαιόλαδο, 1 1⁄2 φλιτζ. τσαγιού νερό","Για τις τορτίγιες με κινόα και κρέμα φέτας ξεκινάμε και σε μεγάλο μπολ ή στον κάδο του μίξερ ανακατεύουμε το αλεύρι, το αλάτι, το μπέικιν πάουντερ και προσθέτουμε το ελαιόλαδο., Ανακατεύουμε με το χέρι (ή με τον γάντζο του μίξερ για ζύμες) και προσθέτουμε το νερό σταδιακά (ίσως δεν χρειαστεί να το ρίξουμε όλο)., Ανακατεύουμε τα υλικά μέχρι να ενωθούν και έπειτα ζυμώνουμε με τα χέρια για σχεδόν 10 λεπτά (ή λιγότερο με τον γάντζο, σε μεσαία ταχύτητα), μέχρι να φτιάξουμε ένα ζυμάρι αφράτο και ελαστικό., Το χωρίζουμε σε δύο ίσα μέρη και έπειτα το καθένα στη μέση, ξανά και ξανά, μέχρι να έχουμε 24 ίσα κομμάτια ζύμης., Τα αφήνουμε να «ξεκουραστούν», σκεπασμένα, για 10-20 λεπτά, σε θερμοκρασία δωματίου., Αλευρώνουμε τον πάγκο και ανοίγουμε κάθε κομμάτι ζύμης σε λεπτό δίσκο, όσο το δυνατόν πιο στρογγυλό, σε μέγεθος περίπου ενός μέτριου πιάτου., Ζεσταίνουμε ένα αντικολλητικό τηγάνι σε δυνατή φωτιά, σκέτο, χωρίς λιπαρή ουσία, και, όταν κάψει καλά, ψήνουμε κάθε τορτίγια στο καυτό σκεύος για περίπου 2 λεπτά από κάθε πλευρά, μέχρι να αποκτήσει μεγάλες ρόδινες φουσκάλες, αλλά να παραμείνει μαλακή και ευλύγιστη., Σε ένα κατσαρολάκι ζεσταίνουμε την κρέμα γάλακτος και το γάλα μέχρι να ζεσταθούν, αλλά όχι να αφρίσουν και να φουσκώσουν., Προσθέτουμε τα τυριά, αποσύρουμε και χτυπάμε καλά με ραβδομπλέντερ (ή στον πολυκόφτη) μέχρι να φτιάξουμε μια λεία κρέμα., Νοστιμίζουμε με αλατοπίπερο., Ανακατεύουμε όλα τα υλικά σε ένα μπολ., Αλείφουμε 4 τορτίγιες με την κρέμα φέτας και από πάνω απλώνουμε τη σαλάτα., Τυλίγουμε σφιχτά σε ρολό, στερεώνουμε με δύο οδοντογλυφίδες και κόβουμε τις τορτίγιες λοξά, στη μέση., Σερβίρουμε αμέσως."
Εβρίτικα πατσούδια: κοτσάνια και ρίζες σπανακιού με καρυδάτη σκορδαλιά,"1 κιλό σπανάκι (κρατάμε μόνο τα πιο σκληρά, αλλά γερά μέρη και τις ρίζες), καλά πλυμένο, στεγνωμένο και χοντροκομμένο– κρατάμε τα μικρά φύλλα για άλλη συνταγή, στην κατάψυξη, 1/2 φλιτζ. τσαγιού ελαιόλαδο, 1 κουτ. σούπας κόκκινο γλυκό πιπέρι, 150 γρ. καρυδόψιχα καλής ποιότητας, 2 μεγάλες σκελίδες σκόρδο, καθαρισμένες, 2 κουτ. σούπας ξίδι, αλάτι, φρεσκοτριμμένο πιπέρι","Για να φτιάξουμε τα πατσούδια, ξεκινάμε χαράσσοντας με ένα μαχαιράκι το χοντρό κομμάτι της ρίζας, για να μαγειρευτεί γρήγορα., Βάζουμε να βράσει μπόλικο νερό σε μεγάλη κατσαρόλα και όταν κοχλάσει, ρίχνουμε το σπανάκι και το ζεματίζουμε για 10 λεπτά, μετρώντας τον χρόνο από τη στιγμή που θα ξαναπάρει βράση το νερό. Το στραγγίζουμε και το στύβουμε καλά., Καθαρίζουμε και στεγνώνουμε την κατσαρόλα. Ζεσταίνουμε εκεί το ελαιόλαδο και σοτάρουμε το σπανάκι μαζί με το κόκκινο γλυκό πιπέρι για 4-6 λεπτά, μέχρι να γυαλίσει καλά και να αχνίσει., Ρίχνουμε 750-800 ml ζεστό νερό, αλατοπιπερώνουμε και αφήνουμε το σπανάκι να μαγειρευτεί για 30-40 λεπτά, μέχρι να μαλακώσουν καλά τα κομμάτια στις ρίζες που είναι πιο σκληρά., Ελέγχουμε μήπως χρειαστεί να ρίξουμε λίγο επιπλέον νερό – το φαγητό είναι πλούσιο, σαλτσάτο και πρέπει να μείνει μια ικανή ποσότητα υγρού, αφού μέρος της θα χρησιμοποιήσουμε στη σκορδαλιά στη συνέχεια., Χτυπάμε στον πολυκόφτη την καρυδόψιχα με τα σκόρδα, το ξίδι και 1 κουτάλα της σούπας ζουμί της κατσαρόλας μέχρι να φτιάξουμε έναν πυκνό χυλό., Τον αδειάζουμε στην κατσαρόλα με το σπανάκι, μαγειρεύουμε για 5 λεπτά, ώστε να ενωθούν τα αρώματα, και σερβίρουμε με χωριάτικο ψωμί."
"Ντολμαδάκια γιαλαντζί, αλλά με λάπατα","500 γρ. (καθαρό βάρος) λάπατα, καλά πλυμένα, 80 ml ελαιόλαδο, χυμός από 1/2 ή 1 λεμόνι","Για να φτιάξουμε τα ντολμαδάκια γιαλαντζί με λάπατα, ξεκινάμε στρώνοντας ένα φύλλο λάπατου μπροστά μας, σε ένα ξύλο κοπής, και ανασηκώνουμε την άκρη του κοτσανιού-νεύρου που διατρέχει το μήκος του φύλλου., Βάζουμε να βράσει άφθονο, ελαφρώς αλατισμένο, νερό σε μεγάλη κατσαρόλα και, όταν κοχλάσει, ρίχνουμε τα λάπατα, σε δόσεις, και τα ζεματίζουμε για 40-60 δευτερόλεπτα, για να μαλακώσουν και, κυρίως, για να φύγει η πικράδα τους. Τα στραγγίζουμε απλωμένα σε σουρωτήρι., Σε μια κατσαρόλα ζεσταίνουμε το ελαιόλαδο σε μέτρια φωτιά και σοτάρουμε τα φρέσκα κρεμμυδάκια για 2 λεπτά, μέχρι να γυαλίσουν., Προσθέτουμε το ρύζι και σοτάρουμε για 2 ακόμη λεπτά, μέχρι να γυαλίσουν οι κόκκοι του., Προσθέτουμε τον άνηθο, τον δυόσμο, αλάτι και πιπέρι και συνεχίζουμε το σοτάρισμα για 1 λεπτό. Αποσύρουμε από τη φωτιά και αφήνουμε το μείγμα να κρυώσει., Αφήνουμε στην άκρη 4-5 από τα πιο μεγάλα λάπατα, για να τα στρώσουμε στην κατσαρόλα., Απλώνουμε ένα τρυφερό λάπατο σε ξύλο κοπής, με το μέρος όπου υπήρχε το κοτσάνι μπροστά μας. Αν το φύλλο είναι αρκετά μικρό, βάζουμε δίπλα του άλλο ένα, ώστε να το μισοκαλύψει, για να μεγαλώσει η επιφάνεια., Βάζουμε εκεί 1 κουτ. γλυκού γέμιση και τυλίγουμε μία φορά σε ρολό., Φέρνουμε τις πλαϊνές άκρες του φύλλου προς το κέντρο και συνεχίζουμε το ρολάρισμα, φτιάχνοντας ένα κλασικό ντολμαδάκι., Σε μια φαρδιά κατσαρόλα στρώνουμε τα μεγαλύτερα λάπατα που αφήσαμε στην άκρη. Τακτοποιούμε στην κατσαρόλα τα ντολμαδάκια κυκλικά, σε δύο στρώσεις το πολύ., Καλύπτουμε με ένα πιάτο για να μη μετακινηθούν και ξετυλιχθούν στο μαγείρεμα και περιχύνουμε με νερό ζεστό που να μισοκαλύψει το πιάτο., Προσθέτουμε το ελαιόλαδο και τον χυμό λεμονιού και τοποθετούμε σε δυνατή φωτιά, μέχρι το υγρό να πάρει βράση. Χαμηλώνουμε τη φωτιά, σκεπάζουμε την κατσαρόλα και σιγομαγειρεύουμε για περίπου 40 λεπτά., Αποσύρουμε από τη φωτιά και αφήνουμε τα ντολμαδάκια μέσα στην κατσαρόλα, μέχρι να γίνουν χλιαρά. Τα σερβίρουμε σκέτα ή συνοδεύουμε με δροσερό γιαούρτι."
Πιτάκια ρολό με καβουρμά στο τηγάνι από τον Έβρο,"6 φύλλα κρούστας, ελαιόλαδο για τα φύλλα + επιπλέον, για το τηγάνισμα","Για να φτιάξουμε τα καβουρμαδοπιτάκια-ρολά, στο τηγάνι, ξεκινάμε με τη γέμιση. Σε μια κατσαρόλα σοτάρουμε το κρεμμύδι χωρίς λιπαρή ουσία για 2 λεπτά σε μέτρια φωτιά, μέχρι να γυαλίσει καλά., Ρίχνουμε τον καβουρμά και σοτάρουμε για 2-3 λεπτά, ανακατεύοντας τακτικά, μέχρι να μαλακώσει και να κομματιαστεί., Προσθέτουμε το πλιγούρι και μαγειρεύουμε για 1-2 λεπτά, μέχρι να απορροφήσει τη νοστιμιά του καβουρμά., Ρίχνουμε την ντομάτα, το πετιμέζι, το μπούκοβο ή την πάπρικα, αλάτι και πιπέρι. Μαγειρεύουμε για 1-2 λεπτά, μέχρι να σωθούν τα περισσότερα υγρά της ντομάτας, και αποσύρουμε από τη φωτιά., Προσθέτουμε τον μαϊντανό, ανακατεύουμε και αφήνουμε το μείγμα να κρυώσει., Σε καθαρή και επίπεδη επιφάνεια απλώνουμε τα φύλλα κρούστας, ακριβώς το ένα πάνω στο άλλο, λαδωμένα καλά ένα ένα., Απλώνουμε πάνω σε όλη την επιφάνεια του επάνω φύλλου το μείγμα της γέμισης, αφήνοντας ένα περιθώριο 1 εκ. περιμετρικά, και τυλίγουμε όλα μαζί τα φύλλα σε σχετικά σφιχτό ρολό από τη μακριά πλευρά τους., Τυλίγουμε το ρολό με διάφανη μεμβράνη, σφιχτά σαν καραμέλα, και βάζουμε στην κατάψυξη για 45-60 λεπτά, μέχρι το ρολό να σφίξει και να κόβεται εύκολα., Το βγάζουμε από την κατάψυξη, αφαιρούμε τη μεμβράνη και το κόβουμε σε φέτες πάχους 1 εκ., Σε μεγάλο αντικολλητικό τηγάνι ζεσταίνουμε 1/2 εκ. ελαιόλαδο, σε μέτρια φωτιά, και τηγανίζουμε τις φέτες σε δόσεις, για 2 λεπτά από κάθε πλευρά, μέχρι να ροδίσει το φύλλο και να αποκτήσει κάθε φέτα μια ρόδινη κρούστα και από τις δύο πλευρές της., Τις βγάζουμε με τρυπητή κουτάλα και τις στραγγίζουμε σε χαρτί κουζίνας. Σερβίρουμε τα πιτάκια ζεστά ή χλιαρά, σκέτα ή με ένα ντιπ γιαουρτιού."
Κανταΐφι γεμιστό με κρέμα τυριού,"400 γρ. ζάχαρη, 200 γρ. νερό, 1 κουτ. γλυκού χυμός λεμονιού, 1/2 ξυλάκι κανέλας","Για να φτιάξουμε το κανταΐφι γεμιστό με κρέμα τυριού, ξεκινάμε φτιάχνοντας το σιρόπι., Σε ένα κατσαρολάκι βάζουμε όλα τα υλικά και τοποθετούμε σε δυνατή φωτιά, χωρίς να ανακατεύουμε. Αφήνουμε το σιρόπι να πάρει μία βράση και χαμηλώνουμε τη φωτιά., Προσθέτουμε την κανέλα και αφήνουμε το σιρόπι να σιγοβράσει για 6-7 λεπτά, μέχρι να δέσει. Αποσύρουμε και αφήνουμε να κρυώσει., Σε ένα μπολ ανακατεύουμε το τυρί με τη ζάχαρη και την κρέμα γάλακτος μέχρι να γίνει ένα μαλακό και κρεμώδες μείγμα., Προθερμαίνουμε τον φούρνο στους 200°C., Βουτυρώνουμε ένα μεγάλο στρογγυλό ταψάκι διαμέτρου 30 εκ., Αφρατεύουμε τις ίνες του φύλλου κανταϊφιού με τα χέρια μας και έπειτα τις τεμαχίζουμε με το μαχαίρι σε κομμάτια 2,5 εκ. Τις περιχύνουμε με το λιωμένο βούτυρο και ανακατεύουμε με τα χέρια μας ώστε να βραχούν ομοιόμορφα., Βάζουμε τα 2/3 του κανταΐφιού στο ταψί, απλώνουμε να καλυφθεί καλά ο πάτος και τα τοιχώματα και πιέζουμε με τα χέρια μας, να γίνει μια όσο το δυνατόν πιο συμπαγής βάση, χωρίς κενά., Αδειάζουμε από πάνω τη γέμιση του τυριού, απλώνοντάς τη με τη ράχη του κουταλιού. Τη σκεπάζουμε με το υπόλοιπο κανταΐφι, πιέζοντας πολύ απαλά., Ψήνουμε για περίπου 45 λεπτά ή μέχρι να πάρει ένα σκούρο χρυσαφί χρώμα και να γίνει τραγανό το κανταΐφι (το χρώμα είναι καλή ένδειξη – μην το βγάλετε αν είναι απλώς ξανθό)., Βγάζουμε το γλυκό από τον φούρνο και αμέσως το σιροπιάζουμε με το κρύο σιρόπι. Αφήνουμε για 5-10 λεπτά να το απορροφήσει και ξεφορμάρουμε σε μια πιατέλα., Διακοσμούμε την επιφάνεια με φυστίκια και ροδοπέταλα. Σερβίρουμε ζεστό ή χλιαρό. Αν περισσέψει γλυκό, το διατηρούμε στο ψυγείο και το ζεσταίνουμε στον φούρνο πριν το σερβίρουμε."
Koτόπουλο tikka masala,"700 γρ. φιλέτο από στήθος κοτόπουλου, σε κύβους 3-4 εκ.","Για να φτιάξουμε το κοτόπουλο tikka masala, ξεκινάμε ανακατεύοντας όλα τα υλικά της μαρινάδας σε βαθύ μπολ μέχρι να αναμειχθούν. Ρίχνουμε τους κύβους κοτόπουλου και ανακατεύουμε καλά. Καλύπτουμε με μεμβράνη και αφήνουμε όλο το βράδυ να μαριναριστούν., Την επομένη, προθερμαίνουμε τον φούρνο στους 200°C., Περνάμε το κοτόπουλο σε τέσσερα μεταλλικά σουβλάκια. Λαδώνουμε ελαφρώς τη σχάρα του φούρνου και την τοποθετούμε στην ψηλότερη θέση. Από κάτω στερεώνουμε ένα ταψί, ώστε να πέφτουν μέσα τα υγρά του ψησίματος και να μη λερώσουμε τον φούρνο. Βάζουμε τα σουβλάκια στη σχάρα και ψήνουμε για 15-20 λεπτά ή μέχρι να ψηθεί τελείως το κοτόπουλο και να ροδίσει στις άκρες., Ζεσταίνουμε το λάδι σε ένα τηγάνι ή σε μια κατσαρόλα σε χαμηλή φωτιά., Προσθέτουμε το κρεμμύδι και τα καψάκια του κάρδαμου και σοτάρουμε για 3-4 λεπτά ή μέχρι να μαλακώσει το κρεμμύδι και να αρχίσει να ροδίζει., Προσθέτουμε το γιαούρτι στην κατσαρόλα και μαγειρεύουμε για 1 λεπτό. Προσθέτουμε την ντομάτα και μαγειρεύουμε για 5-6 λεπτά, μέχρι να δέσει η σάλτσα. Προσθέτουμε την κανέλα, το garam masala, το τσίλι και τη ζάχαρη στην κατσαρόλα και μαγειρεύουμε για άλλο 1 λεπτό. Προσθέτουμε ανακατεύοντας την κρέμα γάλακτος και τα αμύγδαλα, και στη συνέχεια τα ψημένα κομμάτια κοτόπουλου tikka. Τα αφήνουμε να σιγοβράσουν για 5 λεπτά ή μέχρι να αναμειχθεί το κοτόπουλο με τα υπόλοιπα υλικά., Πασπαλίζουμε με τα φύλλα κόλιανδρου και σερβίρουμε. Συνοδεύουμε με ρύζι μπασμάτι."
Τσίζκεϊκ με κανταΐφι,"400 γρ. φύλλο καταΐφι, 150 γρ. βούτυρο αγελάδος, 300 γρ. ζάχαρη, 200 ml νερό","Για το τσίζκεϊκ με καταΐφι ξεκινάμε και σ’ ένα κατσαρολάκι λιώνουμε σε μέτρια φωτιά το βούτυρο., «Ξαίνουμε» («χτενίζουμε» με τα χέρια μας) το φύλλο καταΐφι για να χωρίσουμε τις ίνες και να γίνει αφράτο, και το ανακατεύουμε με το μισό λιωμένο βούτυρο., Προθερμαίνουμε το φούρνο στους 170° C., Σε ένα τσέρκι με αποσπώμενα τοιχώματα διαμέτρου 24 εκ. απλώνουμε το καταΐφι και περιχύνουμε με το υπόλοιπο βούτυρο., Βάζουμε στο φούρνο και ψήνουμε για περίπου 20 λεπτά, μέχρι να πάρει χρυσαφί χρώμα., Ετοιμάζουμε το σιρόπι., Ρίχνουμε σ’ ένα κατσαρολάκι το νερό με τη ζάχαρη και το βάζουμε σε χαμηλή φωτιά μέχρι να πήξει ελαφρώς και να γίνει σιρόπι (θα χρειαστούμε 1-1½ λεπτό από το σημείο βρασμού)., Βγάζουμε το καταΐφι από το φούρνο και το σιροπιάζουμε αμέσως (πρέπει και το σιρόπι και το καταΐφι να είναι ζεστά)., Το αφήνουμε να κρυώσει πολύ καλά για τουλάχιστον 1 ώρα., Στον κάδο του μίξερ ρίχνουμε το τυρί και τη ζάχαρη και χτυπάμε με το σύρμα για 2-3 λεπτά., Προσθέτουμε την κρέμα γάλακτος και χτυπάμε για 2-3 λεπτά, μέχρι να πήξει η κρέμα., Την αδειάζουμε πάνω από το κρύο καταΐφι, ισιώνουμε με σπάτουλα και βάζουμε το γλυκό στο ψυγείο για τουλάχιστον 3 ώρες., Βγάζουμε τα αποσπώμενα τοιχώματα, απλώνουμε στην επιφάνεια το γλυκό του κουταλιού βύσσινο και κόβουμε σε κομμάτια."
"Tourteau fromagé, το παραδοσιακό καμένο τσίζκεϊκ των Γάλλων","125 γρ. αλεύρι για όλες τις χρήσεις, 60 γρ. βούτυρο αγελάδας πολύ κρύο, σε κυβάκια, 1 τσιμπιά αλάτι, 25 γρ. κρύο νερό","Για να φτιάξουμε το tourteau fromagé, ξεκινάμε προθερμαίνοντας τον φούρνο στους 280°C – αν δεν έχουμε φούρνο με τόσο υψηλή θερμοκρασία, τον προθερμαίνουμε στους 250°C., Στον κάδο του μίξερ βάζουμε όλα μαζί τα υλικά και ζυμώνουμε σε χαμηλή ταχύτητα με το φτερό μέχρι να ενωθούν σε ζύμη. Εναλλακτικά, μπορούμε να ζυμώσουμε στο χέρι: αρχικά βάζουμε σε ένα μπολ το αλεύρι, το αλάτι και το βούτυρο και τρίβουμε τα υλικά με τα δάχτυλά μας μέχρι να γίνουν ψίχουλα., Προσθέτουμε το νερό και ζυμώνουμε μέχρι να ενωθούν σε ζύμη., Τυλίγουμε τη ζύμη σε μεμβράνη και αφήνουμε στο ψυγείο για 1 ώρα., Ανοίγουμε τη ζύμη με τον πλάστη πάνω σε αλευρωμένη επιφάνεια σε διάμετρο περίπου 30 εκ. Τη μεταφέρουμε μέσα σε ένα ταψάκι 18 εκ. (επιλέγουμε ένα που να ανοίγει λίγο προς τα πάνω, δηλαδή να είναι πιο στενό στον πυθμένα και πιο φαρδύ στο χείλος)., Τη στρώνουμε καλά στα τοιχώματα και κόβουμε όση εξέχει. Με ένα πιρούνι την τρυπάμε καλά σε όλη την επιφάνεια., Σε ένα μπολ ανακατεύουμε το τυρί με τη μισή ζάχαρη (40 γρ.) με μια ελαστική σπάτουλα μέχρι να γίνει μαλακό σαν κρέμα. Προσθέτουμε τους κρόκους και ανακατεύουμε., Κοσκινίζουμε μέσα στο μείγμα το αλεύρι και το κορν φλάουρ και ανακατεύουμε ξανά., Χτυπάμε τα ασπράδια με την υπόλοιπη ζάχαρη (40 γρ.) στο μίξερ μέχρι να γίνουν μια αφράτη μαρέγκα και την προσθέτουμε σε δύο δόσεις στο μείγμα του τυριού, ανακατεύοντας με μια ελαστική σπάτουλα., Αδειάζουμε το μείγμα πάνω από τη ζύμη, ισιώνουμε την επιφάνεια και έπειτα χτυπάμε μια δυο φορές τη φόρμα πάνω στον πάγκο, για να φύγει ο αέρας που έχει εγκλωβιστεί στην κρέμα., Ψήνουμε το γλυκό για 12 λεπτά στους 280°C ή για 20 λεπτά στους 250°C, μέχρι να μαυρίσει η επιφάνεια. Έπειτα χαμηλώνουμε τη θερμοκρασία στους 180°C, ανοίγουμε λίγο την πόρτα του φούρνου για 1 λεπτό, να φύγει ο αέρας, την ξανακλείνουμε και συνεχίζουμε το ψήσιμο σε αυτή τη θερμοκρασία για περίπου 35 λεπτά., Αφήνουμε να κρυώσει, κόβουμε σε κομμάτια και σερβίρουμε με φρέσκα φρούτα ή μαρμελάδα."
Εύκολο cheesecake με γιαούρτι και ζαχαρούχο γάλα,"150 γρ. μπισκότα πτι μπερ, τριμμένα στο μούλτι, 800 γρ. (2 κουτιά) ζαχαρούχο γάλα, 1 κιλό στραγγιστό γιαούρτι, 2 λεμόνια (παίρνουμε το ξύσμα τους και τα στύβουμε)","Για να φτιάξουμε το cheesecake με γιαούρτι, σε ένα μπολ ανακατεύουμε τα τριμμένα μπισκότα με 150 γρ. από το ζαχαρούχο γάλα και στρώνουμε το μείγμα σαν βάση μέσα σε ένα τσέρκι ή φόρμα με αποσπώμενο πάτο διαμέτρου 20 εκ., Ψήνουμε τη βάση σε προθερμασμένο φούρνο στις αντιστάσεις πάνω-κάτω, στους 180°C για περίπου 15 λεπτά., Σε ένα μπολ ανακατεύουμε με μίξερ το γιαούρτι με το υπόλοιπο ζαχαρούχο γάλα (δηλαδή τα 650 γρ.), τον χυμό από τα 2 λεμόνια και 2 κουτ. γλυκού από το ξύσμα τους., Ρίχνουμε το μείγμα πάνω από τη βάση του μπισκότου, αφού κρυώσει., Ψήνουμε σε προθερμασμένο φούρνο στις αντιστάσεις, στους 150°C για περίπου 1 ώρα και 30 λεπτά., Αφήνουμε να κρυώσει καλά πριν το κόψουμε και το διατηρούμε στο ψυγείο., Γαρνίρουμε με μαρμελάδα της αρεσκείας μας ή με φρέσκα φρούτα και σερβίρουμε το cheesecake με γιαούρτι."
Τσουκνιδοκεφτέδες,"50 γρ. ξερό κρεμμύδι, ψιλοκομμένο, 150 γρ. πράσο, ψιλοκομμένο, 150 γρ. φρέσκα κρεμμυδάκια, ψιλοκομμένα, 1 κιλό φύλλα τσουκνίδας, ψιλοκομμένα (τα καθαρίζουμε φορώντας γάντια), 500 γρ. φύλλα σπανάκι, ψιλοκομμένα, 1 μάτσο μυρώνια, ψιλοκομμένα, 1 μάτσο καυκαλήθρες, ψιλοκομμένες, 1 μάτσο μάραθος, ψιλοκομμένος, 1 μάτσο δυόσμος, ψιλοκομμένος, 1 μάτσο μαϊντανός, ψιλοκομμένος, 250 γρ. αμύγδαλα λευκά, χοντροαλεσμένα, 50 γρ. πρόβειο γιαούρτι, 150 γρ. αλεύρι για όλες τις χρήσεις, 1 κουτ. γλυκού δαφνόφυλλα, τριμμένα στο γουδί ή στο μπλέντερ, ανθός αλατιού, πιπέρι φρεσκοτριμμένο, 1/2 φλιτζ. τσαγιού ελαιόλαδο","Για τους τσουκνιδοκεφτέδες ξεκινάμε και σε ένα τηγάνι με το ελαιόλαδο μαγειρεύουμε σε χαμηλή φωτιά το ξερό κρεμμύδι, το πράσο και τα φρέσκα κρεμμυδάκια, μέχρι να μαραθούν χωρίς να πάρουν χρώμα., Τα αδειάζουμε σε σουρωτήρι για να στραγγίσουν τα υγρά τα μαζεύουμε σε ένα μπολ., Σε άλλο μπολ βάζουμε την τσουκνίδα, το σπανάκι και τα μυρωδικά. Τα αλατίζουμε πολύ καλά με ανθό αλατιού και ζυμώνουμε ελαφρά με τα χέρια μας, μέχρι να βγάλουν αρκετά υγρά, και τα αδειάζουμε σε σουρωτήρι για να στραγγίσουν – τα υγρά τα μαζεύουμε σε ένα μπολ., Όταν και τα δύο μείγματα στραγγίξουν πολύ καλά, τα ενώνουμε σε ένα μπολ και τα ανακατεύουμε., Σε άλλο μπολ βάζουμε το πρόβειο γιαούρτι και τα υγρά που έχουμε συλλέξει (περίπου 50 ml από το καθένα) και προσθέτουμε όσο από το αλεύρι χρειάζεται για να κάνουμε έναν πολύ σφιχτό χυλό, στον οποίο προσθέτουμε τα αμύγδαλα και την τριμμένη δάφνη., Προσθέτουμε αυτόν τον χυλό μέσα στα χορταρικά και ανακατεύουμε καλά., Παίρνουμε κουταλιές από το μείγμα και τηγανίζουμε τους τσουκνιδοκεφτέδες σε καυτό ελαιόλαδο που να τους καλύπτει μέχρι τα 3/4, χαμηλώνοντας λίγο τη φωτιά. Είναι έτοιμοι όταν ροδίσουν ολόγυρα, σε περίπου 4-5 λεπτά."
